1	1	0	0	0	513271	1	0	 ncbiAll_ArthOnly
2	1	0	21	4.09140590448321e-05	513271	1	0	 ncbiAll_ArthOnly
3	23	0.586642321690344	57	0.00011105244597883	513250	0.999959085940955	21	 ncbiAll_ArthOnly
4	144	2.26909341344044	1439	0.00280358718883397	513193	0.999848033494976	78	 ncbiAll_ArthOnly
5	2127	5.27277204817166	2147	0.00418297546520259	511754	0.997044446306142	1517	 ncbiAll_ArthOnly
6	26604	7.94926212091927	16745	0.0326240913669387	509607	0.99286147084094	3664	 ncbiAll_ArthOnly
7	222024	11.3140871589429	492862	0.960237379474001	492862	0.960237379474001	20409	 ncbiAll_ArthOnly
1	1	0	0	0	64944	1	0	 ncbiAll_ChordataOnly
2	1	0	13	0.000200172456270017	64944	1	0	 ncbiAll_ChordataOnly
3	19	1.51754679219662	18	0.000277161862527716	64931	0.99979982754373	13	 ncbiAll_ChordataOnly
4	173	3.88282041744611	20	0.000307957625030796	64913	0.999522665681202	31	 ncbiAll_ChordataOnly
5	986	5.68602589874354	99	0.00152439024390244	64893	0.999214708056172	51	 ncbiAll_ChordataOnly
6	6442	7.82511506628243	831	0.0127956393200296	64794	0.997690317812269	150	 ncbiAll_ChordataOnly
7	23986	9.59051495645704	63963	0.984894678492239	63963	0.984894678492239	981	 ncbiAll_ChordataOnly
1	1	0	0	0	323225	1	0	 ncbiNB_ArthOnly
2	1	0	22	6.80640420759533e-05	323225	1	0	 ncbiNB_ArthOnly
3	22	0.658191106608518	44	0.000136128084151907	323203	0.999931935957924	22	 ncbiNB_ArthOnly
4	131	2.28693393535074	452	0.0013984066826514	323159	0.999795807873772	66	 ncbiNB_ArthOnly
5	1989	5.18301230606715	2085	0.00645061489674375	322707	0.998397401191121	518	 ncbiNB_ArthOnly
6	20111	7.54741117403251	15551	0.0481119962874159	320622	0.991946786294377	2603	 ncbiNB_ArthOnly
7	138280	10.7115271750961	305071	0.943834790006961	305071	0.943834790006961	18154	 ncbiNB_ArthOnly
1	1	0	0	0	41492	1	0	 ncbiNB_ChordataOnly
2	1	0	29	0.000698929914200328	41492	1	0	 ncbiNB_ChordataOnly
3	18	1.48942941776008	17	0.000409717535910537	41463	0.9993010700858	29	 ncbiNB_ChordataOnly
4	168	3.90536379924156	15	0.000361515472862238	41446	0.998891352549889	46	 ncbiNB_ChordataOnly
5	902	5.65884045106665	90	0.00216909283717343	41431	0.998529837077027	61	 ncbiNB_ChordataOnly
6	5247	7.66388716240292	695	0.0167502169092837	41341	0.996360744239853	151	 ncbiNB_ChordataOnly
7	17869	9.31260538841706	40646	0.97961052733057	40646	0.97961052733057	846	 ncbiNB_ChordataOnly
1	1	0	0	0	239222	1	0	 ncbiOB_ArthOnly
2	1	0	5	2.09010876926035e-05	239222	1	0	 ncbiOB_ArthOnly
3	16	0.446854673222443	30	0.000125406526155621	239217	0.999979098912307	5	 ncbiOB_ArthOnly
4	99	2.04447726101939	1627	0.00680121393517319	239187	0.999853692386152	35	 ncbiOB_ArthOnly
5	1413	5.07850568015517	1212	0.00506642365668709	237560	0.993052478450979	1662	 ncbiOB_ArthOnly
6	17338	7.96562846081469	7311	0.0305615704241249	236348	0.987986054794291	2874	 ncbiOB_ArthOnly
7	122973	11.1308098208826	229037	0.957424484370167	229037	0.957424484370167	10185	 ncbiOB_ArthOnly
1	1	0	0	0	27681	1	0	 ncbiOB_ChordataOnly
2	1	0	3	0.000108377587514902	27681	1	0	 ncbiOB_ChordataOnly
3	15	1.42900333875528	13	0.000469636212564575	27678	0.999891622412485	3	 ncbiOB_ChordataOnly
4	143	3.73361091727644	13	0.000469636212564575	27665	0.999421986199921	16	 ncbiOB_ChordataOnly
5	788	5.44267903632105	38	0.00137278277518876	27652	0.998952349987356	29	 ncbiOB_ChordataOnly
6	4185	7.47076531398708	374	0.0135110725768578	27614	0.997579567212167	67	 ncbiOB_ChordataOnly
7	11715	8.97125071982267	27240	0.984068494635309	27240	0.984068494635309	441	 ncbiOB_ChordataOnly
